TEST#	TYPE	SIZE	CREATE	FIND-MIN	IN-ORDER
1	AVL	10	2682	488	731	1219
1	AVL	20	4388	488	975	1706
1	AVL	30	10240	488	1463	2438
1	AVL	40	13409	487	1462	2926
1	AVL	50	12190	488	1707	3413
1	AVL	60	13409	487	1950	3657
1	AVL	70	15116	488	2195	4388
1	AVL	80	16578	488	2438	4633
1	AVL	90	19016	487	2682	5363
1	AVL	100	21942	487	2926	5852
1	AVL	110	22673	487	3169	6339
1	AVL	120	23649	488	3413	6826
1	AVL	130	27062	487	3901	7558
1	AVL	140	27062	488	4145	10240
1	AVL	150	30719	487	3901	8289
1	AVL	160	31938	731	4388	8777
1	AVL	170	33645	488	4632	9265
1	AVL	180	29987	487	4876	9996
1	AVL	190	37790	2194	5120	10484
1	AVL	200	40959	487	5363	10727
1	AVL	210	36815	488	5364	11458
1	AVL	220	47541	488	5851	12190
1	AVL	230	40471	488	5851	12678
1	AVL	240	41690	488	6095	14384
1	AVL	250	41690	488	6338	15847
1	AVL	260	45104	488	6583	17066
1	AVL	270	47054	487	7070	14872
1	AVL	280	57293	731	7070	15360
1	AVL	290	57294	488	7314	16091
1	AVL	300	59488	731	7557	16579
1	AVL	310	67045	487	7558	17066
1	AVL	320	52905	487	8289	17553
1	AVL	330	54612	488	8290	17797
1	AVL	340	56075	488	8533	18041
1	AVL	350	57781	488	8777	18773
1	AVL	360	75822	488	9020	19504
1	AVL	370	60951	487	9264	19748
1	AVL	380	62901	488	9995	20479
1	AVL	390	84355	487	9752	20967
1	AVL	400	68508	487	10239	21699
1	AVL	410	79480	731	10239	22430
1	AVL	420	102641	732	10484	25599
1	AVL	430	74848	488	10727	24136
1	AVL	440	73872	487	10971	23405
1	AVL	450	77041	488	11458	25356
1	AVL	460	101422	488	11459	25112
1	AVL	470	96789	487	11702	25599
1	AVL	480	78992	488	11703	26331
1	AVL	490	80943	488	12434	26818
1	AVL	500	82405	488	12434	27306
1	AVL	510	84112	487	12921	27794
1	AVL	520	106541	487	13165	28525
1	AVL	530	103372	488	13166	28525
1	AVL	540	111173	487	13653	29256
1	AVL	550	107516	488	13653	29987
1	AVL	560	111905	488	14385	32182
1	AVL	570	112637	488	13897	31451
1	AVL	580	113611	487	14140	31451
1	AVL	590	120682	488	15116	32913
1	AVL	600	116781	487	14872	33157
1	AVL	610	117513	487	14872	33158
1	AVL	620	120194	488	15116	33644
1	AVL	630	122632	487	15359	34132
1	AVL	640	124826	488	15603	34863
1	AVL	650	127508	487	15847	35351
1	AVL	660	110442	487	16335	35839
1	AVL	670	111661	488	16822	36326
1	AVL	680	114344	488	17066	37058
1	AVL	690	132384	487	17066	37301
1	AVL	700	133359	487	17066	41202
1	AVL	710	138236	487	17310	38033
1	AVL	720	117512	731	17310	38765
1	AVL	730	119950	731	17797	39252
1	AVL	740	138480	488	17798	39496
1	AVL	750	138724	488	18529	40227
1	AVL	760	126533	488	19017	40471
1	AVL	770	143112	488	18772	41203
1	AVL	780	144574	487	18773	41203
1	AVL	790	128971	488	19260	41690
1	AVL	800	147500	487	19748	42665
1	AVL	810	153108	488	19991	43397
1	AVL	820	133847	488	19992	43884
1	AVL	830	156765	488	19992	45103
1	AVL	840	137748	488	20967	46566
1	AVL	850	163347	731	20967	46566
1	AVL	860	140186	487	21454	47298
1	AVL	870	161641	731	20966	47054
1	AVL	880	143356	488	21210	47054
1	AVL	890	162128	487	21454	47785
1	AVL	900	146768	487	21698	48760
1	AVL	910	172368	488	22186	49248
1	AVL	920	149695	488	22186	49980
1	AVL	930	169442	487	22673	54124
1	AVL	940	170662	732	22674	51442
1	AVL	950	171149	488	22918	51686
1	AVL	960	173099	487	22917	51930
1	AVL	970	173587	488	23405	52661
1	AVL	980	176269	731	23649	57537
1	AVL	990	182608	488	23893	54124
1	AVL	1000	183826	488	24136	54612
1	AVL	1010	163835	487	24380	55343
1	AVL	1020	183096	488	27306	55587
1	AVL	1030	187727	488	24624	56562
1	AVL	1040	189922	488	25599	57294
1	AVL	1050	268426	487	29012	58756
1	AVL	1060	192360	487	26087	63145
1	AVL	1070	198699	487	26087	58756
1	AVL	1080	199918	488	26331	61194
1	AVL	1090	194798	488	26575	60463
1	AVL	1100	198211	732	27063	61438
1	AVL	1110	202599	487	27062	62413
1	AVL	1120	199917	488	26818	63389
1	AVL	1130	188215	731	27306	64363
1	AVL	1140	273790	488	32426	69240
1	AVL	1150	210402	732	28281	65095
1	AVL	1160	208207	488	28281	65339
1	AVL	1170	217715	731	28037	66070
1	AVL	1180	214058	488	28525	66314
1	AVL	1190	215277	731	28769	68264
1	AVL	1200	214790	731	29012	67533
1	AVL	1210	214546	488	29257	67777
1	AVL	1220	220885	488	29500	68264
1	AVL	1230	217715	488	29256	67776
1	AVL	1240	222347	731	29988	68264
1	AVL	1250	221372	487	29988	69484
1	AVL	1260	223566	488	30475	69727
1	AVL	1270	225517	487	30475	69971
1	AVL	1280	241852	488	30963	69972
1	AVL	1290	227711	488	30720	70459
1	AVL	1300	232587	488	31451	71678
1	AVL	1310	244534	488	33889	73872
1	AVL	1320	235513	488	31938	73628
1	AVL	1330	234781	731	32670	73385
1	AVL	1340	243558	488	32670	73385
1	AVL	1350	240145	488	33644	77285
1	AVL	1360	254773	731	33157	75579
1	AVL	1370	241120	488	33644	77529
1	AVL	1380	249165	731	33888	78260
1	AVL	1390	244778	488	33889	76797
1	AVL	1400	248921	487	33645	77042
1	AVL	1410	266475	731	33888	79967
1	AVL	1420	283542	487	35107	79479
1	AVL	1430	253067	488	35108	80699
1	AVL	1440	255017	487	34620	79479
1	AVL	1450	270133	975	41934	100934
1	AVL	1460	261112	488	35351	85331
1	AVL	1470	261356	731	35838	80698
1	AVL	1480	261356	488	36570	81673
1	AVL	1490	266232	487	36326	87281
1	AVL	1500	266964	488	36570	83868
1	AVL	1510	283054	488	36083	92889
1	AVL	1520	278910	488	37790	99959
1	AVL	1530	274278	488	52905	99471
1	AVL	1540	278422	731	38033	88013
1	AVL	1550	275009	488	37789	85087
1	AVL	1560	295001	488	39009	86062
1	AVL	1570	279153	487	39008	90938
1	AVL	1580	313530	731	45347	94596
1	AVL	1590	290612	732	39496	92400
1	AVL	1600	314505	975	61438	170905
1	AVL	1610	378868	488	39740	95082
1	AVL	1620	290612	487	39983	124583
1	AVL	1630	323525	732	39984	91426
1	AVL	1640	317917	487	39740	90207
1	AVL	1650	433724	731	61438	132872
1	AVL	1660	296707	732	47542	102153
1	AVL	1670	290368	487	40959	92888
1	AVL	1680	294026	732	41203	93864
1	AVL	1690	304021	731	41446	100446
1	AVL	1700	314261	732	41690	93376
1	AVL	1710	314505	731	41202	97033
1	AVL	1720	484191	731	88013	188947
1	AVL	1730	337909	487	42909	103616
1	AVL	1740	319137	732	41447	98984
1	AVL	1750	322062	488	42177	96789
1	AVL	1760	323769	488	47785	98008
1	AVL	1770	328889	732	41934	98253
1	AVL	1780	331083	487	43397	115075
1	AVL	1790	329133	488	42665	101666
1	AVL	1800	328889	732	47542	100691
1	AVL	1810	317674	487	43641	101422
1	AVL	1820	318162	732	43397	101665
1	AVL	1830	321818	487	45103	104104
1	AVL	1840	323525	488	44372	102397
1	AVL	1850	341810	731	45103	105566
1	AVL	1860	336203	487	45103	103616
1	AVL	1870	383257	488	46079	115318
1	AVL	1880	326207	487	45591	105078
1	AVL	1890	392521	487	46322	105566
1	AVL	1900	357170	488	45835	106297
1	AVL	1910	347662	487	45834	106542
1	AVL	1920	336691	732	46567	109955
1	AVL	1930	353269	487	46566	113368
1	AVL	1940	352294	732	46566	108492
1	AVL	1950	335472	488	46810	108735
1	AVL	1960	353513	487	46810	110930
1	AVL	1970	357413	487	47054	110442
1	AVL	1980	346443	487	46810	110198
