TEST#	TYPE	SIZE	CREATE	FIND-MIN	IN-ORDER	DSW
1	BST	10	10240	731	731	5120
1	BST	20	6826	731	732	1950
1	BST	30	12434	731	1219	2194
1	BST	40	22430	975	1463	2926
1	BST	50	29744	1219	1707	3170
1	BST	60	39008	1219	1707	3413
1	BST	70	55587	1219	2194	3901
1	BST	80	64608	1462	2438	4632
1	BST	90	104103	1462	2438	5119
1	BST	100	98008	1706	2926	5608
1	BST	110	114586	1950	3170	6095
1	BST	120	135311	1951	3169	6582
1	BST	130	158959	2195	3657	6826
1	BST	140	181145	2195	3901	7558
1	BST	150	207232	2438	3901	7801
1	BST	160	232344	2682	4144	8533
1	BST	170	256724	2438	4388	9021
1	BST	180	293294	2926	4632	9509
1	BST	190	320844	2926	4876	9996
1	BST	200	347174	3169	5120	10483
1	BST	210	388620	3169	5607	10971
1	BST	220	421533	3413	5607	11459
1	BST	230	453716	3414	5851	11703
1	BST	240	508327	3657	6096	12434
1	BST	250	540265	3657	6339	12922
1	BST	260	592926	3900	6583	13653
1	BST	270	634129	4145	6827	14140
1	BST	280	669968	4145	7070	14629
1	BST	290	744327	4388	7314	15116
1	BST	300	767977	4389	8046	15604
1	BST	310	819906	4632	7801	16091
1	BST	320	871836	4876	8045	16335
1	BST	330	936931	4632	8289	16822
1	BST	340	985936	4876	8533	17554
1	BST	350	1061027	5120	8776	18042
1	BST	360	1100035	5364	9020	18285
1	BST	370	1154158	5120	9021	19017
1	BST	380	1240708	5363	9508	19504
1	BST	390	1292639	5607	9752	19992
1	BST	400	1357733	5851	9996	20479
1	BST	410	1450379	5851	10240	20967
1	BST	420	1661267	6339	11215	22186
1	BST	430	1595684	6339	10971	22429
1	BST	440	1655904	6095	10972	22186
1	BST	450	1872399	6339	10971	23405
1	BST	460	1900681	6583	11215	23893
1	BST	470	1888003	6827	11703	23892
1	BST	480	1957730	7070	11946	24624
1	BST	490	2060858	7070	12191	24868
1	BST	500	2133267	7070	12678	25356
1	BST	510	2216648	7071	12678	26087
1	BST	520	2292226	7558	12922	26331
1	BST	530	2378532	7558	13409	26819
1	BST	540	2481904	7801	13409	27306
1	BST	550	2556264	7801	13653	27793
1	BST	560	2669144	8289	13897	28769
1	BST	570	2753743	8045	14384	29013
1	BST	580	2859797	8289	14384	29500
1	BST	590	2965851	8533	14628	29744
1	BST	600	3068004	8533	14872	30476
1	BST	610	3168938	8533	15360	30963
1	BST	620	3276455	9021	15359	31450
1	BST	630	3403232	9020	15603	31938
1	BST	640	3464914	9265	15847	32669
1	BST	650	3583889	9264	15847	32670
1	BST	660	3724563	9752	17798	33644
1	BST	670	3911071	9508	16579	36814
1	BST	680	3990307	9752	16578	34620
1	BST	690	4086853	10240	17066	35108
1	BST	700	4156580	9996	17554	35351
1	BST	710	4297742	10240	17553	35839
1	BST	720	4447680	10483	20723	36570
1	BST	730	4640283	10483	18041	37058
1	BST	740	4682461	10728	18285	37545
1	BST	750	4782908	10727	18529	38033
1	BST	760	4951619	10727	18773	38277
1	BST	770	5068156	10972	19017	39009
1	BST	780	5225896	11215	19261	39740
1	BST	790	5353648	16822	27062	51930
1	BST	800	5496028	11458	19748	40471
1	BST	810	5589893	11702	19992	40959
1	BST	820	5758359	11703	19992	41446
1	BST	830	6037513	12434	20723	43153
1	BST	840	6107484	12921	20967	45591
1	BST	850	6340803	12190	20967	45348
1	BST	860	6383468	12190	21211	43885
1	BST	870	6597039	12678	21455	44616
1	BST	880	6681394	12678	21942	44616
1	BST	890	6868634	12678	30475	56562
1	BST	900	7012234	12921	22430	45591
1	BST	910	7142179	13165	22673	46079
1	BST	920	7329420	13165	23162	48272
1	BST	930	7448882	13409	22918	47297
1	BST	940	7691709	13653	23405	48029
1	BST	950	7840672	14140	23892	48273
1	BST	960	8006458	14141	23893	48761
1	BST	970	8231975	14140	24380	49248
1	BST	980	8371673	14384	24381	49735
1	BST	990	8554037	14384	24380	50467
1	BST	1000	8677401	14629	24868	51199
1	BST	1010	8901455	14628	25112	51198
1	BST	1020	9075286	14872	25355	51686
1	BST	1030	9273984	15360	25843	52661
1	BST	1040	9631398	15359	25843	53393
1	BST	1050	10084382	15359	28769	65827
1	BST	1060	10097548	15603	26574	54612
1	BST	1070	10104130	15847	26574	54612
1	BST	1080	10801160	15847	27062	55586
1	BST	1090	10446672	16335	27062	55830
1	BST	1100	10649515	16335	27550	56318
1	BST	1110	10853578	16579	27549	56318
1	BST	1120	11177834	16579	27794	61438
1	BST	1130	11374582	16578	28525	57781
1	BST	1140	11582789	17310	28524	59244
1	BST	1150	11779050	17066	28769	59244
1	BST	1160	12009687	17310	29012	59732
1	BST	1170	12136220	17310	30476	59976
1	BST	1180	12492658	17554	29500	60463
1	BST	1190	13062424	17797	29744	61194
1	BST	1200	14508414	18041	29744	61438
1	BST	1210	13034631	20235	30231	62170
1	BST	1220	13228697	18042	30476	62658
1	BST	1230	13391557	18285	30963	62901
1	BST	1240	13653888	18529	32669	63145
1	BST	1250	13981557	18529	30963	63876
1	BST	1260	14214388	18773	31694	64607
1	BST	1270	14364083	19017	31938	65095
1	BST	1280	14584724	19504	31938	65339
1	BST	1290	14876799	19260	32182	66314
1	BST	1300	15137178	19504	32426	66558
1	BST	1310	15721328	22186	32913	69484
1	BST	1320	20860675	19992	33157	67777
1	BST	1330	16029007	19991	33645	69727
1	BST	1340	16619007	19992	33401	68996
1	BST	1350	16422747	19992	33888	68752
1	BST	1360	16825751	20724	34376	70215
1	BST	1370	16874999	20723	34620	70702
